Region,Total_2010,Total_2020
Australia,40,36
Austria,54,48
Belgium,38,37
Canada,36,30
Chile,53,51
Costa Rica,19,23
Czech Republic,72,59
Denmark,42,35
Estonia,49,46
Finland,52,48
France,41,39
Germany,60,52
Greece,44,46
Hungary,60,57
Iceland,37,39
Ireland,37,35
Israel,44,44
Italy,50,49
Korea,36,28
Latvia,49,45
Lithuania,42,36
Luxembourg,40,28
Mexico,21,29
Netherlands,42,37
Norway,36,32
Poland,57,51
Portugal,27,37
Slovak Republic,70,53
Slovenia,62,50
Spain,25,24
Sweden,49,35
Switzerland,50,41
Turkey,25,24
United Kingdom,37,32
United States,46,42
Brazil,41,49
India,22,13
Indonesia,30,38
Russian Federation,40,33
South Africa,11,39
