Region,Below upper secondary,Upper secondary,Post-secondary non-tertiary,Short-cycle tertiary,Bachelor's or equivalent,Master's or equivalent,Doctoral or equivalent
Australia,56,73,81,77,82,82,93
Austria,54,76,82,85,80,89,92
Belgium,47,73,86,83,85,88,93
Canada,54,67,77,77,80,83,
Denmark,61,82,87,87,85,91,94
Estonia,63,80,79,84,83,87,85
Finland,54,74,98,83,86,89,98
France,53,72,62,83,84,88,90
Germany,63,81,87,89,88,90,93
Greece,52,61,66,67,74,81,91
Hungary,56,79,84,84,84,88,92
Iceland,70,81,85,83,84,92,93
Ireland,52,69,75,78,85,87,92
Israel,49,71,,83,86,91,92
Italy,52,70,75,79,74,83,94
Latvia,65,75,76,87,85,88,96
Lithuania,54,72,75,,89,91,99
Luxembourg,61,75,77,79,81,87,92
Netherlands,63,82,85,89,88,92,94
New Zealand,71,80,85,89,88,87,92
Norway,61,79,85,83,90,92,90
Poland,47,72,72,75,87,90,97
Portugal,70,82,80,,83,90,92
Slovak Republic,36,77,81,91,73,84,89
Slovenia,48,76,,85,89,92,94
Spain,56,69,64,77,79,83,90
Sweden,63,86,82,84,89,93,91
Switzerland,69,81,,,89,89,93
Turkey,50,60,,65,75,84,92
United Kingdom,64,80,,82,87,87,93
United States,55,69,,78,82,85,89
Brazil,52,66,,,79,84,87
